year,industryLargeClassName,industryMediumClassName,brandCount,quantifiedSalesBrandCount,quantifiedStartupBrandCount,totalFranchiseStoreCount,totalNewFranchiseRegistrationCount,totalContractEndCount,totalContractCancellationCount,totalClosureLikeCount,averageBrandSalesKrw,medianBrandSalesKrw,averageBrandStartupCostKrw,medianBrandStartupCostKrw,averageStoresPerBrand,medianStoresPerBrand,averageNewRegistrationsPerBrand,averageEndCountsPerBrand,averageCancellationCountsPerBrand,newRegistrationRateByStore,closureLikeRateByStore,joinedBrandCoverageRate
2019,외식,분식,302,302,302,7944,1721,638,236,874,109645586,0,64457126,57250000,26,7,6,2,1,0.2166,0.11,1
2019,외식,서양식,110,110,110,938,328,98,46,144,153087355,0,140661718,106450000,9,3,3,1,0,0.3497,0.1535,1
2019,외식,아이스크림/빙수 ,29,29,29,1994,244,85,46,131,85792000,51315000,129697414,114900000,69,6,8,3,2,0.1224,0.0657,1
2019,외식,음료 (커피 외),53,53,53,1552,254,258,42,300,48715679,0,92475151,78450000,29,2,5,5,1,0.1637,0.1933,1
2019,외식,일식,178,178,178,1926,596,145,81,226,163576124,0,121861006,94300000,11,3,3,1,0,0.3094,0.1173,1
2019,외식,제과제빵,127,127,127,8204,1080,556,233,789,131030874,66066000,114717724,84700000,65,6,9,4,2,0.1316,0.0962,1
2019,외식,주점,221,221,221,7943,1478,804,393,1197,151941647,69649000,91387796,76040000,36,9,7,4,2,0.1861,0.1507,1
2019,외식,중식,84,84,84,994,257,90,34,124,129980679,0,111545845,96292500,12,3,3,1,0,0.2586,0.1247,1
2019,외식,치킨,379,379,379,24915,3910,2096,843,2939,114416873,91471000,56710900,49950000,66,11,10,6,2,0.1569,0.118,1
2019,외식,커피,293,293,293,14663,3110,1094,511,1605,86271536,49361000,113991744,85007000,50,6,11,4,2,0.2121,0.1095,1
2019,외식,패스트푸드,65,65,65,3588,454,238,70,308,103802892,0,101274631,66300000,55,7,7,4,1,0.1265,0.0858,1
2019,외식,피자,117,117,117,6218,691,304,138,442,121205487,28373000,75299111,58300000,53,9,6,3,1,0.1111,0.0711,1
2019,외식,한식,1243,1243,1243,19847,4949,1733,759,2492,154830552,0,105475117,92760000,16,4,4,1,1,0.2494,0.1256,1
2020,도소매,(건강)식품,14,14,14,1194,43,34,55,89,75892714,0,76998500,79920000,85,3,3,2,4,0.036,0.0745,1
2020,도소매,기타도소매,180,180,180,6719,804,359,225,584,215632683,0,150935500,81375000,37,6,4,2,1,0.1197,0.0869,1
2020,도소매,농수산물,18,18,18,729,128,14,26,40,99115000,0,50230389,48250000,41,3,7,1,1,0.1756,0.0549,1
2020,도소매,의류 / 패션,29,29,29,192,61,27,9,36,88627414,0,90293690,65500000,7,4,2,1,0,0.3177,0.1875,1
2020,도소매,종합소매점,13,13,13,849,194,35,13,48,575780308,0,159894000,70720000,65,3,15,3,1,0.2285,0.0565,1
2020,도소매,편의점,28,28,28,45555,5610,1554,954,2508,223686714,197581500,64590750,58765000,1627,43,200,56,34,0.1231,0.0551,1
2020,도소매,화장품,17,17,17,1870,50,386,441,827,230765765,227030000,118352647,126033000,110,39,3,23,26,0.0267,0.4422,1
2020,서비스,교육 (교과),67,67,67,10730,2451,1509,687,2196,112380925,0,87370209,58550000,160,38,37,23,10,0.2284,0.2047,1
2020,서비스,교육 (외국어),105,105,105,17556,2656,1551,366,1917,152464771,7364000,157927476,94600000,167,30,25,15,3,0.1513,0.1092,1
2020,서비스,기타 교육,173,173,173,6524,1160,399,264,663,70324919,0,120560699,73000000,38,8,7,2,2,0.1778,0.1016,1
2020,서비스,기타 서비스,255,255,255,3967,1171,251,77,328,50919875,0,126645365,97800000,16,3,5,1,0,0.2952,0.0827,1
2020,서비스,반려동물 관련,23,23,23,214,27,18,8,26,100532826,0,195627870,97300000,9,2,1,1,0,0.1262,0.1215,1
2020,서비스,배달,10,10,10,11,5,1,0,1,0,0,47182000,42855000,1,0,1,0,0,0.4545,0.0909,1
2020,서비스,부동산 중개 ,4,4,4,22,6,2,0,2,129825000,0,50762500,47900000,6,0,2,1,0,0.2727,0.0909,1
2020,서비스,세탁,25,25,25,4520,502,157,64,221,30396360,30138000,60028160,36650000,181,12,20,6,3,0.1111,0.0489,1
2020,서비스,숙박,20,20,20,260,62,28,5,33,375672950,21338000,2353355750,810550000,13,5,3,1,0,0.2385,0.1269,1
2020,서비스,스포츠 관련,81,81,81,2718,684,187,8,195,100140247,0,203862469,142330000,34,3,8,2,0,0.2517,0.0717,1
2020,서비스,안경,61,61,61,3036,326,156,102,258,206100148,149661000,165030852,166700000,50,17,5,3,2,0.1074,0.085,1
2020,서비스,약국,4,4,4,3900,215,93,3,96,0,0,98932500,100930000,975,976,54,23,1,0.0551,0.0246,1
2020,서비스,오락,16,16,16,523,105,17,10,27,190569938,0,251104375,171905000,33,9,7,1,1,0.2008,0.0516,1
2020,서비스,운송,13,13,13,1150,3194,687,0,687,206231,0,15191000,440000,88,0,246,53,0,2.7774,0.5974,1
2020,서비스,유아 관련 (교육 외),49,49,49,1073,99,109,97,206,139816714,106451000,296623184,220600000,22,11,2,2,2,0.0923,0.192,1
2020,서비스,유아관련,4,4,4,81,27,5,1,6,52424250,19007000,218747500,262995000,20,14,7,1,0,0.3333,0.0741,1
2020,서비스,이미용,162,162,162,4399,973,312,133,445,129318216,0,123347019,102400000,27,8,6,2,1,0.2212,0.1012,1
