year,industryMediumClassName,rankInIndustry,brandName,corpName,franchiseStoreCount,averageSalesAmountKrwAssumed,startupTotalAmountKrwAssumed,newFranchiseRegistrationCount,contractEndCount,contractCancellationCount
2025,제과제빵,27,크리스피크림,롯데지알에스(주),53,472920000,55986000,0,1,0
2025,제과제빵,28,한스(HANS),(주)한스제과,40,457088000,327400000,0,0,1
2025,제과제빵,29,핫브레드,(주)에이치비푸드,22,446930000,178200000,6,0,3
2025,제과제빵,30,우스블랑,(주)베어하우스,2,441624000,338000000,2,0,0
2025,기타 외국식,1,화담원,(주)후레쉬에이치디,5,1344362000,454916000,2,0,0
2025,기타 외국식,2,능두네,(주)크레센도에프앤비,5,1162500000,174950000,3,0,0
2025,기타 외국식,3,유생촌,(주)유생촌푸드,12,1131670000,428900000,4,0,1
2025,기타 외국식,4,어밤부(abamboo),(주)에이비비,2,967646000,218900000,0,0,0
2025,기타 외국식,5,번패티번,(주)엠브이다이닝,6,848658000,299619000,1,1,0
2025,기타 외국식,6,나나방콕 (NANA BANGKOK) ,(주)나나에프엔비,5,811891000,129300000,4,0,0
2025,기타 외국식,7,생어거스틴,(주)늘솜,12,774317000,184250000,1,4,0
2025,기타 외국식,8,레몬그라스 타이,(주)세연에프엔씨,10,739258000,143300000,4,0,1
2025,기타 외국식,9,옥소반,(주)옥소반,22,722340000,146375000,6,1,0
