id,sourceDataset,year,industryLargeClassName,industryMediumClassName,corpName,brandName,franchiseStoreCount,newFranchiseRegistrationCount,contractEndCount,contractCancellationCount,nameChangeCount,averageSalesAmountRaw,averageSalesAmountKrwAssumed,areaUnitAverageSalesAmountRaw,areaUnitAverageSalesAmountKrwAssumed,amountUnitAssumption,hasStartupStats,franchiseFeeAmountRaw,franchiseFeeAmountKrwAssumed,educationFeeAmountRaw,educationFeeAmountKrwAssumed,depositAmountRaw,depositAmountKrwAssumed,otherStartupAmountRaw,otherStartupAmountKrwAssumed,startupTotalAmountRaw,startupTotalAmountKrwAssumed
2025||외식||분식||(주)엘에이치지||노랑김밥,brand_franchise_stats,2025,외식,분식,(주)엘에이치지,노랑김밥,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,11000,11000000,3300,3300000,5000,5000000,99300,99300000,118600,118600000
2025||외식||분식||(주)제이비패밀리인터내셔널||노랑분식,brand_franchise_stats,2025,외식,분식,(주)제이비패밀리인터내셔널,노랑분식,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,3300,3300000,3300,3300000,0,0,0,0,6600,6600000
2025||외식||분식||다인에프씨(주)||놀라운떡볶이,brand_franchise_stats,2025,외식,분식,다인에프씨(주),놀라운떡볶이,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,3300,3300000,2200,2200000,1000,1000000,29820,29820000,36320,36320000
2025||외식||분식||농부꼬마김밥본점||농부꼬마김밥,brand_franchise_stats,2025,외식,분식,농부꼬마김밥본점,농부꼬마김밥,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,5500,5500000,1500,1500000,60010,60010000,72510,72510000
2025||외식||분식||누루||누루,brand_franchise_stats,2025,외식,분식,누루,누루,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,4400,4400000,2000,2000000,69300,69300000,81200,81200000
2025||외식||분식||(주)트루팜||니떡내떡,brand_franchise_stats,2025,외식,분식,(주)트루팜,니떡내떡,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,11000,11000000,5500,5500000,5000,5000000,14850,14850000,36350,36350000
2025||외식||분식||다수제||다수제 떡볶이,brand_franchise_stats,2025,외식,분식,다수제,다수제 떡볶이,1,1,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,11000,11000000,5500,5500000,1000,1000000,43800,43800000,61300,61300000
2025||외식||분식||닥치고푸드||닥치고 푸드,brand_franchise_stats,2025,외식,분식,닥치고푸드,닥치고 푸드,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,1100,1100000,1000,1000000,48400,48400000,56000,56000000
2025||외식||분식||봄봄식탁||단당,brand_franchise_stats,2025,외식,분식,봄봄식탁,단당,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,7700,7700000,3300,3300000,2000,2000000,39600,39600000,52600,52600000
2025||외식||분식||(주)어반푸드랩||달떡볶이(달리는떡볶이),brand_franchise_stats,2025,외식,분식,(주)어반푸드랩,달떡볶이(달리는떡볶이),0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,11000,11000000,5500,5500000,10000,10000000,93500,93500000,120000,120000000
2025||외식||분식||(주)엔피엔에프||닭장수김밥,brand_franchise_stats,2025,외식,분식,(주)엔피엔에프,닭장수김밥,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,11000,11000000,3300,3300000,2000,2000000,57750,57750000,74050,74050000
2025||외식||분식||(주)바이포엠에프앤티(BY4MFNTCorp.)||당신은지금떡볶이가땡긴다,brand_franchise_stats,2025,외식,분식,(주)바이포엠에프앤티(BY4MFNTCorp.),당신은지금떡볶이가땡긴다,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,4400,4400000,2200,2200000,3000,3000000,13750,13750000,23350,23350000
2025||외식||분식||(유)대동상회||대동분식,brand_franchise_stats,2025,외식,분식,(유)대동상회,대동분식,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,11000,11000000,5500,5500000,0,0,85800,85800000,102300,102300000
2025||외식||분식||올데이푸드||대창을 품은 떡볶이,brand_franchise_stats,2025,외식,분식,올데이푸드,대창을 품은 떡볶이,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,3300,3300000,2000,2000000,13200,13200000,24000,24000000
2025||외식||분식||더탑김밥떡볶이||더탑김밥,brand_franchise_stats,2025,외식,분식,더탑김밥떡볶이,더탑김밥,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,3300,3300000,3300,3300000,5000,5000000,64900,64900000,76500,76500000
2025||외식||분식||덕자네방앗간||덕자네방앗간,brand_franchise_stats,2025,외식,분식,덕자네방앗간,덕자네방앗간,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,11000,11000000,5500,5500000,2000,2000000,96800,96800000,115300,115300000
2025||외식||분식||(주)기영에프앤비||데일리김밥,brand_franchise_stats,2025,외식,분식,(주)기영에프앤비,데일리김밥,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,2200,2200000,3000,3000000,40200,40200000,50900,50900000
2025||외식||분식||(주)고반홀딩스||데일리하이웨이,brand_franchise_stats,2025,외식,분식,(주)고반홀딩스,데일리하이웨이,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,11000,11000000,3300,3300000,2000,2000000,79200,79200000,95500,95500000
2025||외식||분식||(주)제이푸드||도그닷(DOGDOT),brand_franchise_stats,2025,외식,분식,(주)제이푸드,도그닷(DOGDOT),0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,11000,11000000,3300,3300000,5000,5000000,0,0,19300,19300000
2025||외식||분식||도깨비푸드||도깨비꼬마김밥,brand_franchise_stats,2025,외식,분식,도깨비푸드,도깨비꼬마김밥,5,5,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,2200,2200000,5000,5000000,68200,68200000,80900,80900000
2025||외식||분식||(주)디온에프앤비||도리마리,brand_franchise_stats,2025,외식,분식,(주)디온에프앤비,도리마리,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,3300,3300000,2000,2000000,62150,62150000,72950,72950000
2025||외식||한식||(주)서북||첫걸음이유식,brand_franchise_stats,2025,외식,한식,(주)서북,첫걸음이유식,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,11000,11000000,1000,1000000,74850,74850000,92350,92350000
2025||외식||한식||첫점본점||첫점,brand_franchise_stats,2025,외식,한식,첫점본점,첫점,1,1,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,11000,11000000,5500,5500000,5000,5000000,101300,101300000,122800,122800000
2025||외식||한식||(주)청년히어로||청고장 대패무한,brand_franchise_stats,2025,외식,한식,(주)청년히어로,청고장 대패무한,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,13200,13200000,3300,3300000,0,0,154880,154880000,171380,171380000
2025||외식||한식||(주)엘에이치지||청년보쌈,brand_franchise_stats,2025,외식,한식,(주)엘에이치지,청년보쌈,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,11000,11000000,3300,3300000,5000,5000000,99300,99300000,118600,118600000
2025||외식||치킨||골목통닭||가마솥골목통닭,brand_franchise_stats,2025,외식,치킨,골목통닭,가마솥골목통닭,4,1,0,0,1,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,2200,2200000,0,0,34100,34100000,41800,41800000
2025||외식||치킨||옛날시골통닭||가마솥옛날시골통닭,brand_franchise_stats,2025,외식,치킨,옛날시골통닭,가마솥옛날시골통닭,4,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,3300,3300000,3300,3300000,1000,1000000,44000,44000000,51600,51600000
2025||외식||치킨||가마솥품은치킨(옥련점)||가마솥품은치킨,brand_franchise_stats,2025,외식,치킨,가마솥품은치킨(옥련점),가마솥품은치킨,1,1,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,5500,5500000,0,0,88275,88275000,99275,99275000
2025||외식||치킨||(주)티지와이||가마치통닭,brand_franchise_stats,2025,외식,치킨,(주)티지와이,가마치통닭,788,121,39,0,84,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,3300,3300000,2200,2200000,3000,3000000,53200,53200000,61700,61700000
2025||외식||치킨||(주)엘에이치지||강정천하,brand_franchise_stats,2025,외식,치킨,(주)엘에이치지,강정천하,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,11000,11000000,3300,3300000,5000,5000000,99300,99300000,118600,118600000
2025||외식||치킨||강정판다||강정판다,brand_franchise_stats,2025,외식,치킨,강정판다,강정판다,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,3300,3300000,2000,2000000,25200,25200000,36000,36000000
